algo,step,energy,elapsed_ms
HEA(d=3),47,0.00000209,7115
HEA(d=3),48,0.00000206,7247
HEA(d=3),49,0.00000203,7379
HEA(d=3),50,0.00000199,7598
HEA(d=3),51,0.00000196,7731
HEA(d=3),52,0.00000193,7864
HEA(d=3),53,0.00000190,7996
HEA(d=3),54,0.00000187,8127
HEA(d=3),55,0.00000185,8347
HEA(d=3),56,0.00000182,8479
HEA(d=3),57,0.00000179,8611
HEA(d=3),58,0.00000176,8743
HEA(d=3),59,0.00000174,8876
HEA(d=3),60,0.00000171,9091
HEA(d=3),61,0.00000169,9224
HEA(d=3),62,0.00000166,9356
HEA(d=3),63,0.00000164,9487
HEA(d=3),64,0.00000162,9619
HEA(d=3),65,0.00000160,9837
HEA(d=3),66,0.00000157,9969
HEA(d=3),67,0.00000155,10101
HEA(d=3),68,0.00000153,10233
HEA(d=3),69,0.00000151,10365
HEA(d=3),70,0.00000149,10579
HEA(d=3),71,0.00000147,10712
HEA(d=3),72,0.00000145,10845
HEA(d=3),73,0.00000143,10976
HEA(d=3),74,0.00000141,11108
HEA(d=3),75,0.00000139,11325
HEA(d=3),76,0.00000138,11457
HEA(d=3),77,0.00000136,11589
HEA(d=3),78,0.00000134,11722
HEA(d=3),79,0.00000132,11855
HEA(d=3),80,0.00000131,12067
HEA(d=3),81,0.00000129,12200
HEA(d=3),82,0.00000128,12332
HEA(d=3),83,0.00000126,12467
HEA(d=3),84,0.00000125,12688
HEA(d=3),85,0.00000123,12821
HEA(d=3),86,0.00000122,12953
HEA(d=3),87,0.00000120,13085
HEA(d=3),88,0.00000119,13217
HEA(d=3),89,0.00000117,13436
HEA(d=3),90,0.00000116,13569
HEA(d=3),91,0.00000115,13701
HEA(d=3),92,0.00000113,13833
HEA(d=3),93,0.00000112,13965
HEA(d=3),94,0.00000111,14185
HEA(d=3),95,0.00000110,14318
HEA(d=3),96,0.00000108,14450
HEA(d=3),97,0.00000107,14582
HEA(d=3),98,0.00000106,14715
HEA(d=3),99,0.00000105,14931
HEA(d=3),100,0.00000104,15064
HEA(d=3),101,0.00000103,15196
HEA(d=3),102,0.00000102,15329
HEA(d=3),103,0.00000101,15461
HEA(d=3),104,0.00000100,15677
HEA(d=3),105,0.00000098,15810
HEA(d=3),106,0.00000097,15942
HEA(d=3),107,0.00000096,16075
HEA(d=3),108,0.00000095,16208
HEA(d=3),109,0.00000095,16422
HEA(d=3),110,0.00000094,16555
HEA(d=3),111,0.00000093,16688
HEA(d=3),112,0.00000092,16821
HEA(d=3),113,0.00000091,16954
HEA(d=3),114,0.00000090,17170
HEA(d=3),115,0.00000089,17302
HEA(d=3),116,0.00000088,17435
HEA(d=3),117,0.00000087,17567
HEA(d=3),118,0.00000087,17700
HEA(d=3),119,0.00000086,17917
HEA(d=3),120,0.00000085,18051
HEA(d=3),121,0.00000084,18185
HEA(d=3),122,0.00000083,18318
HEA(d=3),123,0.00000083,18539
HEA(d=3),124,0.00000082,18673
HEA(d=3),125,0.00000081,18807
HEA(d=3),126,0.00000080,18940
HEA(d=3),127,0.00000080,19073
HEA(d=3),128,0.00000079,19290
HEA(d=3),129,0.00000078,19422
HEA(d=3),130,0.00000078,19556
HEA(d=3),131,0.00000077,19689
HEA(d=3),132,0.00000076,19822
HEA(d=3),133,0.00000076,20043
HEA(d=3),134,0.00000075,20176
HEA(d=3),135,0.00000074,20309
HEA(d=3),136,0.00000074,20442
HEA(d=3),137,0.00000073,20576
HEA(d=3),138,0.00000072,20797
HEA(d=3),139,0.00000072,20930
HEA(d=3),140,0.00000071,21065
HEA(d=3),141,0.00000071,21198
HEA(d=3),142,0.00000070,21331
HEA(d=3),143,0.00000069,21549
HEA(d=3),144,0.00000069,21683
HEA(d=3),145,0.00000068,21817
HEA(d=3),146,0.00000068,21951
HEA(d=3),147,0.00000067,22085
HEA(d=3),148,0.00000067,22300
HEA(d=3),149,0.00000066,22434
HEA(d=3),150,0.00000066,22568
HEA(d=3),151,0.00000065,22700
HEA(d=3),152,0.00000065,22834
HEA(d=3),153,0.00000064,23055
HEA(d=3),154,0.00000064,23188
HEA(d=3),155,0.00000063,23323
HEA(d=3),156,0.00000063,23457
HEA(d=3),157,0.00000062,23592
HEA(d=3),158,0.00000062,23807
HEA(d=3),159,0.00000061,23942
HEA(d=3),160,0.00000061,24071
HEA(d=3),161,0.00000060,24206
HEA(d=3),162,0.00000060,24429
HEA(d=3),163,0.00000059,24564
HEA(d=3),164,0.00000059,24696
HEA(d=3),165,0.00000058,24830
HEA(d=3),166,0.00000058,24965
HEA(d=3),167,0.00000058,25186
HEA(d=3),168,0.00000057,25322
HEA(d=3),169,0.00000057,25457
HEA(d=3),170,0.00000056,25593
HEA(d=3),171,0.00000056,25728
HEA(d=3),172,0.00000056,25952
HEA(d=3),173,0.00000055,26088
HEA(d=3),174,0.00000055,26223
HEA(d=3),175,0.00000054,26359
HEA(d=3),176,0.00000054,26495
HEA(d=3),177,0.00000054,26715
HEA(d=3),178,0.00000053,26852
HEA(d=3),179,0.00000053,26990
HEA(d=3),180,0.00000052,27127
HEA(d=3),181,0.00000052,27264
HEA(d=3),182,0.00000052,27486
HEA(d=3),183,0.00000051,27623
HEA(d=3),184,0.00000051,27761
HEA(d=3),185,0.00000051,27900
HEA(d=3),186,0.00000050,28038
HEA(d=3),187,0.00000050,28261
HEA(d=3),188,0.00000050,28400
HEA(d=3),189,0.00000049,28538
HEA(d=3),190,0.00000049,28676
HEA(d=3),191,0.00000049,28815
HEA(d=3),192,0.00000048,29034
HEA(d=3),193,0.00000048,29173
HEA(d=3),194,0.00000048,29312
HEA(d=3),195,0.00000047,29451
HEA(d=3),196,0.00000047,29589
HEA(d=3),197,0.00000047,29812
HEA(d=3),198,0.00000046,29952
HEA(d=3),199,0.00000046,30091
HEA(d=3),200,0.00000046,30230
