algo,step,energy,elapsed_ms
QAOA(p=3),0,7.02769462,98
QAOA(p=3),1,9.60849982,440
QAOA(p=3),2,7.62873888,758
QAOA(p=3),3,10.44897672,1183
QAOA(p=3),4,8.90045021,1501
QAOA(p=3),5,9.56020589,1819
QAOA(p=3),6,10.17218822,2214
QAOA(p=3),7,10.58115001,2641
QAOA(p=3),8,11.50327330,2956
QAOA(p=3),9,10.19514471,3272
QAOA(p=3),10,10.87861276,3589
QAOA(p=3),11,7.59706923,4012
QAOA(p=3),12,10.99894523,4330
QAOA(p=3),13,10.35892348,4648
QAOA(p=3),14,9.04928908,4964
QAOA(p=3),15,10.35421499,5389
QAOA(p=3),16,9.43357227,5705
QAOA(p=3),17,11.30453615,6024
QAOA(p=3),18,7.68145545,6341
QAOA(p=3),19,13.19377909,6772
QAOA(p=3),20,10.08283419,7088
QAOA(p=3),21,9.65217856,7367
QAOA(p=3),22,10.61761474,7682
QAOA(p=3),23,12.84925830,8109
QAOA(p=3),24,6.56088971,8425
QAOA(p=3),25,10.49244012,8741
QAOA(p=3),26,10.32454262,9057
QAOA(p=3),27,9.46595129,9485
QAOA(p=3),28,11.97199997,9800
QAOA(p=3),29,7.55039845,10115
QAOA(p=3),30,11.57626120,10433
QAOA(p=3),31,10.66118099,10748
QAOA(p=3),32,9.00213740,11171
QAOA(p=3),33,10.68681091,11489
QAOA(p=3),34,10.44533817,11805
QAOA(p=3),35,8.57966668,12121
QAOA(p=3),36,10.96487089,12540
QAOA(p=3),37,11.71265502,12858
QAOA(p=3),38,12.99753744,13175
QAOA(p=3),39,10.65964341,13489
QAOA(p=3),40,10.70212859,13912
QAOA(p=3),41,9.19272748,14228
QAOA(p=3),42,5.19150105,14544
QAOA(p=3),43,10.91782242,14862
QAOA(p=3),44,9.89709987,15287
QAOA(p=3),45,13.39551979,15603
QAOA(p=3),46,11.36404292,15920
QAOA(p=3),47,10.36293692,16237
QAOA(p=3),48,9.90527950,16662
QAOA(p=3),49,13.79537767,16980
QAOA(p=3),50,10.25521785,17295
QAOA(p=3),51,8.42139004,17612
QAOA(p=3),52,11.93461535,18039
QAOA(p=3),53,10.46051127,18357
QAOA(p=3),54,9.36305599,18673
QAOA(p=3),55,12.33388845,18990
QAOA(p=3),56,8.78758243,19413
QAOA(p=3),57,11.37993406,19730
QAOA(p=3),58,8.68039786,20046
QAOA(p=3),59,11.09408968,20337
QAOA(p=3),60,8.45323807,20651
QAOA(p=3),61,11.50539800,21072
QAOA(p=3),62,10.07774776,21388
QAOA(p=3),63,10.41693816,21705
QAOA(p=3),64,13.11895503,22022
QAOA(p=3),65,13.23810644,22444
QAOA(p=3),66,10.39927039,22752
QAOA(p=3),67,12.24684369,23068
QAOA(p=3),68,13.34094019,23381
QAOA(p=3),69,8.19149740,23805
QAOA(p=3),70,11.38825928,24121
QAOA(p=3),71,9.22159270,24436
QAOA(p=3),72,8.26462286,24752
QAOA(p=3),73,9.00842643,25175
QAOA(p=3),74,7.94188557,25491
QAOA(p=3),75,10.46561015,25807
QAOA(p=3),76,8.62546165,26123
QAOA(p=3),77,9.38834493,26548
QAOA(p=3),78,8.65646216,26864
QAOA(p=3),79,12.68904218,27176
QAOA(p=3),80,7.39425673,27491
QAOA(p=3),81,6.75580858,27900
QAOA(p=3),82,12.29424176,28216
QAOA(p=3),83,9.63690855,28523
QAOA(p=3),84,9.43227698,28840
QAOA(p=3),85,12.68079298,29267
QAOA(p=3),86,8.92665661,29579
QAOA(p=3),87,11.17127056,29893
QAOA(p=3),88,10.54077877,30209
QAOA(p=3),89,10.30453688,30526
QAOA(p=3),90,9.70912886,30947
QAOA(p=3),91,10.70357226,31260
QAOA(p=3),92,8.21085154,31576
QAOA(p=3),93,7.58024807,31892
QAOA(p=3),94,8.21866330,32318
QAOA(p=3),95,14.03873477,32632
QAOA(p=3),96,9.71037926,32965
QAOA(p=3),97,8.71472114,33295
QAOA(p=3),98,11.79706236,33721
QAOA(p=3),99,11.95587478,34039
QAOA(p=3),100,7.32382342,34356
QAOA(p=3),101,9.93748232,34672
QAOA(p=3),102,10.86611900,35096
QAOA(p=3),103,9.37567431,35413
QAOA(p=3),104,9.73896859,35730
QAOA(p=3),105,11.72014501,36045
QAOA(p=3),106,13.53420074,36466
QAOA(p=3),107,8.44549487,36783
QAOA(p=3),108,9.01953662,37098
QAOA(p=3),109,10.32908844,37413
QAOA(p=3),110,8.38313278,37840
QAOA(p=3),111,12.00530032,38157
QAOA(p=3),112,8.80960399,38474
QAOA(p=3),113,9.38440523,38789
QAOA(p=3),114,9.09665531,39220
QAOA(p=3),115,8.78038776,39536
QAOA(p=3),116,9.64501607,39837
QAOA(p=3),117,12.38309076,40155
QAOA(p=3),118,9.33692422,40471
QAOA(p=3),119,10.42309099,40893
QAOA(p=3),120,11.11374564,41209
QAOA(p=3),121,11.08984810,41556
QAOA(p=3),122,8.71373185,41872
QAOA(p=3),123,10.94928813,42295
QAOA(p=3),124,8.04677286,42610
QAOA(p=3),125,10.72333117,42919
QAOA(p=3),126,8.43020317,43235
QAOA(p=3),127,13.40797722,43657
QAOA(p=3),128,4.90270945,43974
QAOA(p=3),129,11.89280268,44293
QAOA(p=3),130,8.86435403,44619
QAOA(p=3),131,11.32443815,45042
QAOA(p=3),132,10.31289116,45359
QAOA(p=3),133,9.72327127,45675
QAOA(p=3),134,6.64309842,45989
QAOA(p=3),135,10.38839366,46423
QAOA(p=3),136,8.94465748,46739
QAOA(p=3),137,10.83062458,47056
QAOA(p=3),138,8.95852616,47377
QAOA(p=3),139,10.09700126,47805
QAOA(p=3),140,11.59008356,48122
QAOA(p=3),141,7.33892100,48438
QAOA(p=3),142,9.60498002,48754
QAOA(p=3),143,6.62676361,49182
QAOA(p=3),144,8.77209747,49499
QAOA(p=3),145,10.49407255,49831
QAOA(p=3),146,10.46916830,50149
QAOA(p=3),147,14.17124946,50466
QAOA(p=3),148,9.33633850,50888
QAOA(p=3),149,12.98846924,51202
QAOA(p=3),150,13.21266560,51540
QAOA(p=3),151,10.77107675,51857
QAOA(p=3),152,11.48540359,52277
QAOA(p=3),153,7.99122278,52593
QAOA(p=3),154,10.64367121,52909
QAOA(p=3),155,10.24791016,53225
QAOA(p=3),156,10.99885093,53648
QAOA(p=3),157,9.81582915,53966
QAOA(p=3),158,10.50297829,54281
QAOA(p=3),159,12.77553834,54596
QAOA(p=3),160,10.90948201,55016
QAOA(p=3),161,10.08087968,55332
QAOA(p=3),162,9.60834370,55647
QAOA(p=3),163,9.25640118,55961
QAOA(p=3),164,6.41691182,56382
QAOA(p=3),165,12.89708903,56696
QAOA(p=3),166,10.43826384,57010
QAOA(p=3),167,10.28784438,57325
QAOA(p=3),168,6.95583946,57748
QAOA(p=3),169,10.54565467,58060
QAOA(p=3),170,10.49549758,58326
QAOA(p=3),171,10.50991341,58575
QAOA(p=3),172,10.42220761,58926
QAOA(p=3),173,10.37436025,59175
QAOA(p=3),174,10.27695606,59425
QAOA(p=3),175,9.87346843,59674
QAOA(p=3),176,10.04925075,59925
QAOA(p=3),177,9.96648804,60270
QAOA(p=3),178,11.13009828,60521
QAOA(p=3),179,10.41211203,60767
QAOA(p=3),180,6.95525342,61012
QAOA(p=3),181,8.65193752,61346
QAOA(p=3),182,11.77963669,61589
QAOA(p=3),183,10.62090182,61838
QAOA(p=3),184,5.77332133,62087
QAOA(p=3),185,10.03904998,62430
QAOA(p=3),186,9.82637796,62674
QAOA(p=3),187,12.90186402,62920
QAOA(p=3),188,9.15305511,63179
QAOA(p=3),189,10.69777947,63520
QAOA(p=3),190,10.55120843,63767
QAOA(p=3),191,10.66145073,64013
QAOA(p=3),192,15.36521480,64260
QAOA(p=3),193,10.06140013,64607
QAOA(p=3),194,5.47110340,64853
QAOA(p=3),195,9.71974852,65103
QAOA(p=3),196,5.72316316,65349
QAOA(p=3),197,10.15943822,65681
QAOA(p=3),198,11.86521365,65929
QAOA(p=3),199,10.03188849,66176
QAOA(p=3),200,9.81996791,66423
HEA(d=3),0,0.98213050,53
HEA(d=3),1,0.25269673,402
HEA(d=3),2,0.07571051,649
HEA(d=3),3,0.02867515,895
HEA(d=3),4,0.01300376,1141
HEA(d=3),5,0.00671240,1485
HEA(d=3),6,0.00380585,1731
HEA(d=3),7,0.00231045,1977
HEA(d=3),8,0.00147404,2224
HEA(d=3),9,0.00097489,2570
HEA(d=3),10,0.00066178,2816
HEA(d=3),11,0.00045782,3063
HEA(d=3),12,0.00032115,3311
HEA(d=3),13,0.00022765,3654
HEA(d=3),14,0.00016269,3900
HEA(d=3),15,0.00011706,4149
HEA(d=3),16,0.00008475,4397
HEA(d=3),17,0.00006174,4743
HEA(d=3),18,0.00004527,4993
HEA(d=3),19,0.00003346,5241
HEA(d=3),20,0.00002495,5488
HEA(d=3),21,0.00001882,5845
HEA(d=3),22,0.00001439,6167
HEA(d=3),23,0.00001118,6488
HEA(d=3),24,0.00000885,6809
HEA(d=3),25,0.00000716,7236
HEA(d=3),26,0.00000592,7557
HEA(d=3),27,0.00000501,7877
HEA(d=3),28,0.00000435,8197
HEA(d=3),29,0.00000385,8622
HEA(d=3),30,0.00000349,8943
HEA(d=3),31,0.00000321,9263
HEA(d=3),32,0.00000299,9696
HEA(d=3),33,0.00000283,10017
HEA(d=3),34,0.00000270,10338
HEA(d=3),35,0.00000260,10658
HEA(d=3),36,0.00000251,11091
HEA(d=3),37,0.00000244,11412
HEA(d=3),38,0.00000237,11733
